Word count results (sorted by frequency):
Word		Count
------------------------
sphere		32764
management		32755
texture		32747
foot		32743
stove		32733
strict		32715
salt		32696
mortality		32693
negotiation		32690
powerful		32687
ours		32680
porch		32676
presence		32672
emotion		32671
jewish		32659
distinct		32653
criteria		32649
sin		32643
moderate		32642
announce		32639
interaction		32637
nut		32636
less		32633
scream		32632
cat		32632
automatically		32629
invitation		32629
democratic		32622
user		32621
dress		32619
she		32618
serving		32616
missile		32616
shortage		32614
symbolic		32613
generation		32610
pig		32607
invest		32605
retreat		32605
characteristic		32601
laboratory		32600
romance		32599
possible		32595
weapon		32595
provision		32591
lake		32590
sound		32590
guitar		32588
several		32587
way		32585
governor		32584
judgment		32583
bow		32582
clinical		32581
importantly		32580
execute		32580
key		32579
dedicate		32578
envelope		32577
both		32577
collect		32576
trainer		32575
purchase		32575
refuse		32574
sneak		32574
rough		32571
yard		32570
before		32567
billion		32566
cable		32565
jew		32565
ruin		32564
origin		32564
add		32563
dirt		32561
sister		32561
workshop		32559
eliminate		32558
power		32558
judicial		32558
embrace		32557
recently		32556
prosecution		32556
potentially		32555
grin		32555
preparation		32555
pot		32555
roughly		32554
item		32552
one		32552
scary		32549
rural		32548
slowly		32548
react		32548
protective		32548
material		32546
somebody		32545
obligation		32541
paint		32541
cooperative		32540
flee		32539
squeeze		32539
for		32539
field		32539
settlement		32538
seminar		32536
able		32535
auto		32535
thanksgiving		32535
blend		32534
mass		32534
mount		32533
resident		32530
lower		32529
wife		32529
cultural		32528
surround		32527
think		32527
electricity		32525
patient		32524
scared		32524
drinking		32524
therefore		32524
information		32523
huh		32523
globe		32522
receive		32522
disappointed		32522
dumb		32521
soften		32521
qualify		32521
elegant		32520
leadership		32518
wise		32518
rib		32518
coming		32516
boat		32516
quickly		32515
ugly		32514
radiation		32514
dust		32514
election		32514
lovely		32513
coordinator		32512
bread		32512
competitor		32512
relax		32512
citizen		32512
base		32512
portray		32512
gentle		32510
condemn		32510
lonely		32509
support		32509
technology		32508
taxpayer		32507
critic		32507
photographer		32507
temple		32507
peer		32507
rich		32507
minimal		32506
memory		32505
ha		32504
web		32504
truck		32503
worldwide		32502
party		32502
bird		32502
accident		32502
hunting		32502
circle		32502
reply		32501
diet		32501
creature		32501
related		32501
helpful		32501
clinic		32500
hero		32500
glad		32500
hightech		32500
toilet		32499
passenger		32499
shower		32498
make		32498
local		32498
purse		32498
among		32498
software		32497
burn		32496
reveal		32496
partner		32495
unit		32495
oldfashioned		32495
canvas		32495
commissioner		32494
until		32494
platform		32493
disturb		32491
inspection		32491
wedding		32491
species		32491
suggestion		32491
text		32491
trailer		32490
violate		32490
japanese		32490
speculate		32490
planet		32490
employ		32490
consistently		32490
general		32490
about		32489
king		32489
reliable		32488
strain		32487
gesture		32487
dirty		32487
grip		32487
ignore		32487
sustainable		32487
doubt		32486
friendly		32486
lawyer		32485
plane		32485
exam		32484
afternoon		32484
separate		32484
complete		32484
nationwide		32483
prior		32483
error		32482
major		32482
monkey		32482
table		32481
camera		32481
log		32481
kind		32481
college		32481
path		32480
component		32480
engagement		32479
abroad		32479
warn		32479
endure		32479
tail		32478
club		32478
tactic		32477
hire		32477
life		32477
freshman		32476
weight		32476
herself		32476
blood		32476
blanket		32476
unfair		32475
structural		32475
balanced		32474
flexibility		32474
opponent		32474
hate		32474
shape		32473
preliminary		32473
thin		32472
observer		32471
strange		32471
color		32471
exotic		32470
when		32469
enjoy		32468
professor		32467
man		32467
according		32467
north		32466
record		32466
exist		32466
fan		32465
educational		32465
sibling		32465
besides		32465
crop		32465
tired		32464
deliberately		32464
slot		32463
sock		32463
constantly		32463
citizenship		32463
bias		32462
genre		32462
depict		32462
gross		32462
concerned		32462
substance		32462
escape		32461
deem		32460
optimistic		32459
organized		32459
determine		32459
they		32458
puzzle		32458
level		32458
apartment		32457
photo		32457
willing		32457
battery		32456
truly		32456
ship		32456
processor		32455
arrest		32454
preserve		32454
emphasize		32453
wave		32453
balance		32453
milk		32453
alcohol		32452
disease		32452
indeed		32452
knee		32452
coastal		32450
marine		32450
harm		32450
coalition		32450
intelligence		32450
balloon		32449
dried		32448
buck		32448
donate		32448
meet		32448
curriculum		32448
lid		32448
unfold		32448
violence		32447
prize		32446
bus		32446
provide		32446
birth		32446
deputy		32445
birthday		32445
deadly		32445
anticipate		32445
suspect		32444
bath		32444
counseling		32444
click		32443
recommend		32443
comprise		32443
bell		32442
increasing		32442
confession		32442
global		32442
article		32441
peanut		32441
appear		32441
accuse		32440
fucking		32440
unemployment		32440
root		32440
protect		32440
album		32439
unexpected		32439
learn		32439
city		32439
clock		32439
casual		32439
computer		32439
shuttle		32439
imagine		32438
straighten		32438
presidency		32438
desire		32437
intensity		32437
order		32436
trait		32435
pant		32435
aircraft		32435
sick		32434
occur		32434
reception		32433
date		32433
dish		32433
establishment		32433
bay		32432
spot		32432
breeze		32432
association		32432
profound		32432
sea		32432
always		32431
delivery		32431
regain		32431
undergo		32431
offender		32431
documentary		32430
source		32430
harassment		32430
crash		32429
landing		32428
sit		32428
yes		32428
authority		32428
breast		32428
butter		32428
spray		32428
recognition		32427
gifted		32427
comfortable		32426
chef		32426
consent		32426
equation		32426
ritual		32425
actively		32425
segment		32425
spit		32424
laser		32424
permit		32423
police		32422
business		32421
tragedy		32421
damage		32421
weakness		32421
event		32420
dutch		32420
golf		32420
significance		32420
dancing		32419
initial		32418
sell		32418
instinct		32418
midnight		32417
elementary		32417
must		32417
producer		32417
page		32416
trigger		32416
improvement		32416
fashion		32416
written		32416
relationship		32416
actress		32415
nuclear		32415
assessment		32415
limitation		32415
narrative		32415
loyal		32415
emergency		32415
layer		32414
competition		32414
